TheoryVelocity_m_per_s,DopplerShift_Hz,M_Output,CalculatedVelocity_m_per_s,Heterodyne_He,Homodyne_Ho,VelocityError_m_per_s,Runtime_s,SamplesPerExposure
1.0,0.4,-2498.5779577649887,1.0001688453979602,-12.227945008798333,30552.473867745925,0.0001688453979602489,186.2473988,48000000
2.0,0.8,-1248.484118678299,2.000825750906297,-24.464133420119968,30543.0820522468,0.0008257509062969959,184.580179,48000000
3.0,1.2,-831.8634774546454,3.0016924354041454,-36.70022530347084,30529.577044314217,0.0016924354041454315,178.1125028,48000000
4.0,1.6,-623.567694271757,4.002768671720987,-48.93127528945625,30511.962510022833,0.002768671720986937,178.152987,48000000
5.0,2.0,-498.59489662468235,5.004054318589467,-61.15233693233775,30490.243111136682,0.00405431858946681,180.8825604,48000000
6.0,2.4,-415.2816547088655,6.005549299904706,-73.35846444812947,30464.424502920687,0.005549299904705762,179.3020115,48000000
7.0,2.8,-355.7731644930464,7.007253484303822,-85.54471324073361,30434.513335306005,0.007253484303822333,198.5224249,48000000
8.0,3.2,-311.14233237012905,8.009166783041701,-97.70614309345089,30400.51724898589,0.009166783041701265,181.7958164,48000000
9.0,3.6,-276.42978460644616,9.011289121485017,-109.837819816715,30362.44487357617,0.011289121485017262,180.3795531,48000000
10.0,4.0,-248.65995265774876,10.01362042004059,-121.93481701472535,30320.305826212865,0.013620420040590275,183.7808242,48000000
