SimIndex,TheoryVelocity_m_per_s,CalculatedVelocity_m_per_s,D1_Calculated_m,First_simout_y1,First_Q0_Q180_q1,First_Q90_Q270_q2,First_Phase_k1_rad,D2_Calculated_m,Second_simout_y2,Second_Q0_Q180_q3,Second_Q90_Q270_q4,Second_Phase_k2_rad,Exposure1_Runtime_s,Exposure2_Runtime_s,SamplesPerExposure
1,10.0,9.999998866941466,0.8599999771504051,-1.4915287682335392,-16970.321469488514,25311.72267791339,2.161415688242482,0.5600000111421611,6.066793621299732,4956.232146817519,30068.4375739932,1.4074335368115325,174.5776232,183.0831342,48000000
2,9.0,8.999999063989666,0.8639999787181954,-1.4595888042464475,-17231.255932407774,25150.548242047567,2.1714687886742565,0.5940000067985055,12.80909786122488,2372.8966433401124,30394.665319115527,1.4928848460723776,189.341416,175.6180195,48000000
3,8.0,7.999999245602637,0.8679999803186654,-1.4285726509679544,-17490.07638868391,24985.844792214197,2.181521889188163,0.6280000029505863,-132.62647551270123,-229.95586468183572,30498.235856227522,1.5783361565791443,172.709752,173.7249965,48000000
4,7.0,6.999999408528701,0.8719999819496584,-1.398434795509051,-17746.72947052274,24817.643998064916,2.1915749897787835,0.6619999996937974,-10.722697528588013,-2833.0752758583235,30378.20925874985,1.6637874685715832,172.9270296,175.8975406,48000000
5,6.0,5.999999550692093,0.8759999836088028,-1.3691326120643372,-18001.162320161246,24645.978387596493,2.2016280904401553,0.6959999970880401,-5.54444005448388,-5417.195337318858,30035.31481119399,1.749238782200243,174.9750026,175.7812505,48000000
6,5.0,4.999999671261387,0.8799999852939958,-1.3406261352566415,-18253.322604217556,24470.881338484876,2.2116811911669947,0.7299999951561542,-3.7010278741146525,-7963.178789340597,29471.946665908123,1.8346900975225269,174.9029851,175.1060082,48000000
7,4.0,3.9999997705950974,0.8839999870029349,-1.3128778544853155,-18503.158527916203,24292.387069332293,2.2217342919535144,0.763999993885082,-2.7450921522980223,-10452.161623091872,28692.146846100055,1.9201414145056166,176.6419951,176.2762406,48000000
8,3.0,2.999999850193373,0.8879999887332806,-1.2858525270307708,-18750.618849063354,24110.530630458918,2.2317873927938345,0.7979999932274794,-2.1531347489431765,-12865.695345506289,27701.57571772608,2.005592733030523,175.2344217,175.29911,48000000
9,2.0,1.9999999125926797,0.8919999904827488,-1.2595170079530966,-18995.65289202212,23925.347894675288,2.2418404936822154,0.8319999931049684,-1.7455333109923694,-15185.886160318203,26507.47014977343,2.091044052900262,175.749513,175.2104416,48000000
10,1.0,0.9999999611747098,0.8959999922490789,-1.233840095049704,-19238.210561421343,23736.875547690328,2.2518935946129743,0.8659999934138376,-1.4439680585309858,-17395.529997638416,25118.589677807468,2.176495373854177,174.3790431,175.5512343,48000000
